regime,coefficient,sigma_multiple,physics_mae,data_mae,soft_mae,residual_mae,G_soft,G_residual
R2_neutron_rich,a_s,-2,4.018258717131766,2.833801196357184,2.833801196357184,2.7091245404951705,1.0,1.0460210130610037
R2_neutron_rich,a_s,-1,3.408112665550369,2.833801196357184,2.833801196357184,2.7090267026574266,1.0,1.0460587906266703
R2_neutron_rich,a_s,1,4.230007165264948,2.833801196357184,2.833801196357184,2.708831026981722,1.0,1.0461343539448114
R2_neutron_rich,a_s,2,5.392792191854312,2.833801196357184,2.833801196357184,2.7087331891438504,1.0,1.046172139697843
R2_neutron_rich,a_c,-2,3.6878468043812793,2.833801196357184,2.833801196357184,2.7087657390652113,1.0,1.0461595683557052
R2_neutron_rich,a_c,-1,3.4150536530062627,2.833801196357184,2.833801196357184,2.7088473019424413,1.0,1.0461280686900076
R2_neutron_rich,a_c,1,3.6717810110383855,2.833801196357184,2.833801196357184,2.709010427696673,1.0,1.0460650750490519
R2_neutron_rich,a_c,2,4.030147812992831,2.833801196357184,2.833801196357184,2.7090919905739814,1.0,1.0460335810733323
R2_neutron_rich,a_a,-2,3.282138125360145,2.833801196357184,2.833801196357184,2.7086768135848645,1.0,1.0461939136277838
R2_neutron_rich,a_a,-1,3.3084269142905254,2.833801196357184,2.833801196357184,2.7088028392022805,1.0,1.0461452400100535
R2_neutron_rich,a_a,1,3.539930202360172,2.833801196357184,2.833801196357184,2.709054890436904,1.0,1.0460479063604953
R2_neutron_rich,a_a,2,3.702098195337325,2.833801196357184,2.833801196357184,2.709180916054262,1.0,1.0459992463273449
R2_neutron_rich,a_p,-2,3.3938755921626096,2.833801196357184,2.833801196357184,2.709262531534278,1.0,1.0459677360068824
R2_neutron_rich,a_p,-1,3.3962005617725586,2.833801196357184,2.833801196357184,2.7090956981769083,1.0,1.046032149497043
R2_neutron_rich,a_p,1,3.40180183705919,2.833801196357184,2.833801196357184,2.7087620314622285,1.0,1.0461610002808026
R2_neutron_rich,a_p,2,3.405988467327792,2.833801196357184,2.833801196357184,2.7085951981048404,1.0,1.046225437577364
R3_proton_rich,a_v,-2,8.993752141441622,2.169841408600493,2.169841408600493,2.0220934914503252,1.0,1.07306680812478
R3_proton_rich,a_v,-1,5.472903435771184,2.169841408600493,2.169841408600493,2.0232901545845983,1.0,1.072432149033999
R3_proton_rich,a_v,1,2.5609463396798797,2.169841408600493,2.169841408600493,2.0256834808562876,1.0,1.0711650803822854
R3_proton_rich,a_v,2,5.495334584950884,2.169841408600493,2.169841408600493,2.026880143990723,1.0,1.0705326681666996
R3_proton_rich,a_s,-2,3.043375526600563,2.169841408600493,2.169841408600493,2.0265415049505675,1.0,1.0707115562646328
R3_proton_rich,a_s,-1,1.8158565473655432,2.169841408600493,2.169841408600493,2.0255078042801715,1.0,1.0712579847953807
R3_proton_rich,a_s,1,4.159545294789395,2.169841408600493,2.169841408600493,2.0234658311605846,1.0,1.07233904086038
R3_proton_rich,a_s,2,6.302500914498206,2.169841408600493,2.169841408600493,2.022475769493267,1.0,1.0728639825159183
R3_proton_rich,a_c,-2,2.1713446751815813,2.169841408600493,2.169841408600493,2.0235687086505507,1.0,1.072284523537373
R3_proton_rich,a_c,-1,1.780386635128331,2.169841408600493,2.169841408600493,2.0240141078286515,1.0,1.072048559448177
R3_proton_rich,a_c,1,3.451796350245723,2.169841408600493,2.169841408600493,2.024975573461294,1.0,1.071539546964302
R3_proton_rich,a_c,2,4.717066399828856,2.169841408600493,2.169841408600493,2.025483518099627,1.0,1.0712708295134916
R3_proton_rich,a_a,-2,2.288117608903046,2.169841408600493,2.169841408600493,2.0254242991772653,1.0,1.0713021511008287
