N,Z,A,B_exp,B_BWN_published,residual
24,16,40,333.17302,332.36765798437483,0.8053620156251782
23,17,40,337.11064,336.48328349283616,0.6273565071638245
22,18,40,343.810376,343.4090688933611,0.4013071066389102
21,19,40,341.52362800000003,340.473187913206,1.0504400867940262
20,20,40,342.052184,340.9270910106307,1.125092989369307
19,21,40,326.946788,325.66903170017775,1.277756299822272
18,22,40,314.634528,313.62836467634946,1.0061633236505259
26,15,41,324.16860330000003,324.9963029695408,-0.8276996695407774
25,16,41,337.41506780000003,337.6816403767503,-0.2665725767502636
24,17,41,344.9313313,344.47001588218563,0.4613154178143759
23,18,41,349.9093053,349.81334606360303,0.09595923639699322
22,19,41,351.6189971,351.4795673561901,0.1394297438098988
21,20,41,350.4150075,350.45411563984817,-0.03910813984816741
20,21,41,343.1371139,342.9182228605708,0.2188910394291952
19,22,41,329.4099449,328.7736932130433,0.6362516869567116
27,15,42,326.1683124,328.05764776644924,-1.8893353664492452
26,16,42,344.11555500000003,344.17173012111954,-0.05617512111950873
25,17,42,350.5272288,351.41365428984324,-0.8864254898432478
24,18,42,359.3357922,359.1861182890634,0.149673910936599
23,19,42,359.1527982,359.1883541929826,-0.035555992982608586
22,20,42,361.8957132,362.9372597757021,-1.0415465757021138
21,21,42,354.6870726,354.3363459949654,0.35072660503459474
20,22,42,346.88808,347.545378799738,-0.6572987997379869
27,16,43,346.7445868,347.5435912915344,-0.799004491534447
26,17,43,357.9262896,358.3786560242605,-0.45236642426050366
25,18,43,364.9942426,366.84811053368065,-1.8538679336806467
24,19,43,368.7774772,369.2383002992678,-0.46082309926777043
23,20,43,369.8286079,371.20223048041385,-1.3736225804138371
22,21,43,366.82553949999993,367.87893899835944,-1.0533994983595107
21,22,43,359.1706322,360.0511255097368,-0.880493309736778
20,23,43,346.9890547,347.6233092361548,-0.6342545361547991
28,16,44,351.8246776,353.4729818304721,-1.6483042304721494
27,17,44,362.31706720000005,362.8655330291186,-0.5484658291185269
26,18,44,373.7290084,374.96272030336104,-1.2337119033610406
25,19,44,376.0549012,378.27467110909026,-2.219769909090246
24,20,44,380.9597836,382.47191232530975,-1.5121287253097648
23,21,44,376.524742,377.2608165179314,-0.7360745179313994
22,22,44,375.4749460000001,375.73350541116497,-0.25855941116486747
21,23,44,360.9520948,361.29042059364417,-0.3383257936441737
20,24,44,349.783566,350.36747559124365,-0.5839095912436392
28,17,45,368.1719595,369.2657900872194,-1.0938305872193723
27,18,45,378.897867,379.6738798488215,-0.7760128488214946
26,19,45,384.9603615,386.7843030551714,-1.823941555171416
25,20,45,388.3746015,391.9059990946146,-3.531397594614589
24,21,45,387.852345,389.0488483054434,-1.1965033054434002
23,22,45,385.0079445,385.96177549518825,-0.9538309951882411
22,23,45,377.101773,377.84652568182787,-0.7447526818278902
21,24,45,363.947787,364.610197714531,-0.6624107145310063
29,17,46,371.7156822,371.34922552056037,0.36645667943963645
28,18,46,386.969641,387.2049665782787,-0.23532557827866185
27,19,46,391.8299688,392.4773137850271,-0.6473449850270754
26,20,46,398.7733008,401.46704527624337,-2.693744476243353
25,21,46,396.6129890000001,399.4723075373373,-2.8593185373372307
24,22,46,398.1972657999999,398.8108480078894,-0.6135822078894648
23,23,46,390.3625458,390.1106309583896,0.25191484161041444
22,24,46,381.9758718000001,382.27059432020053,-0.29472252020042333
21,25,46,364.139703,366.23224716539573,-2.0925441653957364
29,18,47,390.636975,389.66950829176943,0.9674667082305746
28,19,47,400.1993365,400.31634507165444,-0.11700857165442358
27,20,47,406.0496756,407.2958691159561,-1.2461935159561222
26,21,47,407.2595026,409.58293062369256,-2.323428023692543
25,22,47,407.0779275,409.39001292387616,-2.3120854238761694
24,23,47,403.3650356,403.9132273743795,-0.5481917743795179
23,24,47,395.1387149,395.51476205165636,-0.37604715165633706
22,25,47,382.3596499,384.1041694590822,-1.744519559082164
30,18,48,395.6959488,394.7566900036855,0.9392587963145047
29,19,48,404.8431552,404.03696097740504,0.8061942225949679
28,20,48,416.00119680000006,415.76178174131553,0.2394150586845285
27,21,48,415.4980656,416.608185015133,-1.1101194151329992
26,22,48,418.7045856,420.6508870537925,-1.9463014537925005
25,23,48,413.9072928000001,415.24062970499574,-1.3333369049956332
24,24,48,411.4682544,411.30703257358135,0.16122182641862537
23,25,48,397.1612352,398.1386784631537,-0.9774432631537024
22,26,48,385.09081920000006,386.2913482637354,-1.2005290637353596
30,19,49,410.2414897,409.70587547973474,0.535614220265245
29,20,49,421.14765,420.26280566921884,0.8848443307811635
28,21,49,425.6277445,426.01182586176526,-0.3840813617652543
27,22,49,426.8469625,428.1102138439639,-1.2632513439638728
26,23,49,425.4627615,427.11735558502204,-1.6545940850220404
25,24,49,422.0506073,423.13510745595374,-1.0845001559537195
24,25,49,413.555835,414.4574098505791,-0.9015748505790953
23,26,49,399.9042929,400.9961516607277,-1.091858760727746
31,19,50,414.429165,413.0276842446226,1.4014807553774062
30,20,50,427.508195,427.21783581804783,0.29035918195216937
