regime,population,family,mechanism,n,mae,rmse,bias,median_ae,p95_ae,G_vs_data_MAE,fraction_G_soft_gt1,fraction_G_residual_gt1
R3_proton_rich,primary,ridge,residual,491,2.0244868177209727,2.869133784411728,0.12410764996472219,1.5264210449036,5.521371584829197,1.0717982402291715,,
R3_proton_rich,primary,ridge,adaptive,491,1.8520620597767063,2.335881885281438,-0.2958249730273202,1.6282359827052915,4.393612087739655,1.1715813717722292,,
R3_proton_rich,primary,BWN,physics_only_shell_aware,491,0.8336869908165815,1.0708798934482842,-0.6148780823788287,0.6626236592485384,2.232289635008442,,,
R4_magic_pm1,primary,physics,physics_only,524,3.4920266349102587,4.7037559230381865,-2.925818420712819,2.399463853334396,9.73616576551302,,,
R4_magic_pm1,primary,hgb,data,524,2.712131019778675,3.652581436687554,-0.5469794338974623,2.0514739055425935,7.761880294986428,,,
R4_magic_pm1,primary,hgb,soft,524,2.427136347064553,3.2666646987873076,-1.9742828259866756,1.7917615123935775,6.796508065674641,1.1174201330134594,,
R4_magic_pm1,primary,hgb,residual,524,1.1527213639781237,1.4876726603066857,-1.0632938548236575,0.9348938517377405,3.18838894749752,2.352807108926061,,
R4_magic_pm1,primary,hgb,adaptive,524,2.203894483861018,2.894678151753495,-1.5266502398224202,1.7779824777872193,5.7555679932413,1.2306083796839828,,
R4_magic_pm1,primary,mlp,data,524,3.07203394633094,3.782098998643961,-2.0241501995226128,2.616738918224854,7.298458190930039,,,
R4_magic_pm1,primary,mlp,soft,524,3.079649386980893,3.966480946931155,-2.5651511322367386,2.4752589722344,8.224260329095646,0.9975271728391722,,
R4_magic_pm1,primary,mlp,residual,524,1.4624002841216919,1.8313018725561099,-1.1427790637520086,1.1531993824988263,3.506442817658069,2.100679259766408,,
R4_magic_pm1,primary,mlp,adaptive,524,2.9749733311958932,3.78323954831547,-2.450839299385129,2.433055510655606,7.7217237199364686,1.03262570931889,,
R4_magic_pm1,primary,mlp,seed_robustness,5,,,,,,,0.8,1.0
R4_magic_pm1,primary,ridge,data,524,3.185523793571124,4.046912166759619,-2.778343637555602,2.569823969122808,8.391385626000691,,,
R4_magic_pm1,primary,ridge,soft,524,3.185523793571124,4.046912166759619,-2.778343637555602,2.569823969122808,8.391385626000691,1.0,,
R4_magic_pm1,primary,ridge,residual,524,3.102399878577241,3.9765570792854223,-2.796211709373059,2.5476468024843086,8.328167431502273,1.0267934238806131,,
R4_magic_pm1,primary,ridge,adaptive,524,3.1292598385862807,4.113745356077423,-2.781852349325491,2.4570250938793947,8.85716610664125,1.017979956247501,,
R4_magic_pm1,primary,BWN,physics_only_shell_aware,524,0.8598814230442644,1.0789190130508068,0.2709617186164991,0.7191359016956369,2.138656689618227,,,
R6_N50,primary,physics,physics_only,19,3.2978743367196652,4.195686656157782,-3.2978743367196652,2.2642097540586974,7.822559637144282,,,
R6_N50,primary,hgb,data,19,1.6992229809835935,2.072214585207815,-0.8926260921891873,1.615819051339031,3.9055454479966096,,,
R6_N50,primary,hgb,soft,19,2.3357750389074656,2.6714422052883133,-2.3357750389074656,1.937839629071732,4.785931981263571,0.7274771554106457,,
R6_N50,primary,hgb,residual,19,1.2585220093506235,1.348851402465505,-1.2585220093506235,1.2030660069522128,2.0520556607892884,1.3501734322948904,,
R6_N50,primary,hgb,adaptive,19,1.9376513559049224,2.256008845217132,-1.9376513559049224,1.8278199165850992,4.230649942356125,0.8769498061688306,,
R6_N50,primary,mlp,data,19,2.6677706786328934,2.873079691781064,-2.5462459782592974,2.8517824285532924,4.176268877289362,,,
R6_N50,primary,mlp,soft,19,2.997222993335509,3.292414038071933,-2.997222993335509,2.30658471077993,5.2982807040226705,0.8900808129941713,,
R6_N50,primary,mlp,residual,19,1.9290091503810105,2.042335562187939,-1.9290091503810105,2.1071505415809497,2.841949321159051,1.3829746106211915,,
R6_N50,primary,mlp,adaptive,19,2.9676568850890734,3.25141646473172,-2.9676568850890734,2.371386658719416,5.385215847907761,0.8989484909920175,,
R6_N50,primary,mlp,seed_robustness,5,,,,,,,0.8,1.0
R6_N50,primary,ridge,data,19,3.7519452298586025,3.8256674390041487,-3.7519452298586025,3.693610361990409,5.118836072012617,,,
R6_N50,primary,ridge,soft,19,3.7519452298586025,3.8256674390041487,-3.7519452298586025,3.693610361990409,5.118836072012617,1.0,,
R6_N50,primary,ridge,residual,19,3.698953891932206,3.8026087490583587,-3.698953891932206,3.4078045411837365,5.675357145646363,1.0143260336502102,,
R6_N50,primary,ridge,adaptive,19,3.453467813262005,3.6848803054435986,-3.453467813262005,2.8357106728441295,6.099930170983269,1.086428318645503,,
R6_N82,primary,physics,physics_only,22,5.365197735048272,6.662758552044247,-5.365197735048272,3.581023889383573,12.364653097448569,,,
R6_N82,primary,hgb,data,22,2.081428779034478,2.367730758270134,-1.9947750436072367,1.9197163213805197,3.7274765065101745,,,
R6_N82,primary,hgb,soft,22,4.017028658471852,4.773493503621914,-4.017028658471852,2.838344444218478,8.788386605582957,0.5181513392105821,,
R6_N82,primary,hgb,residual,22,1.0619845455278105,1.1481709036285428,-1.0619845455278105,0.9041895971448639,1.9732494003895222,1.959942626095373,,
R6_N82,primary,hgb,adaptive,22,3.1228111936185523,3.4753902291894314,-3.1228111936185523,2.5363244710572417,5.9685200985675575,0.6665240547644592,,
R6_N82,primary,mlp,data,22,4.32648494663217,4.777385790756132,-4.070707586036044,3.9871417718003386,7.3967295087950555,,,
R6_N82,primary,mlp,soft,22,4.847401675443373,5.4887769852715795,-4.847401675443373,3.358648052872695,9.088997753491219,0.8925369169528216,,
R6_N82,primary,mlp,residual,22,1.2348708095322536,1.3049648392216415,-1.2348708095322536,1.159545631835499,2.021067351033696,3.503593180140814,,
R6_N82,primary,mlp,adaptive,22,4.582628924751899,5.113726071911139,-4.582628924751899,3.433878046695213,8.548853411747176,0.9441054507520273,,
R6_N82,primary,mlp,seed_robustness,5,,,,,,,0.2,1.0
R6_N82,primary,ridge,data,22,4.903376602668914,5.656329080956326,-4.903376602668914,3.518422926041467,10.107071045360442,,,
R6_N82,primary,ridge,soft,22,4.903376602668914,5.656329080956326,-4.903376602668914,3.518422926041467,10.107071045360442,1.0,,
R6_N82,primary,ridge,residual,22,4.965790465413224,5.611884422022768,-4.965790465413224,3.661097064688988,9.95753281427974,0.9874312331180659,,
R6_N82,primary,ridge,adaptive,22,4.99287827495424,5.8760158527805215,-4.99287827495424,3.3112039755117166,10.590412119883615,0.9820741329236298,,
R6_N126,primary,physics,physics_only,14,5.495332963739202,6.191202830426766,-5.495332963739202,5.053012836353105,9.702377216123192,,,
R6_N126,primary,hgb,data,14,4.077477680195151,4.265017365834851,-4.077477680195151,4.21908109269134,5.727068673840006,,,
R6_N126,primary,hgb,soft,14,4.928190850321569,5.3090461131182005,-4.928190850321569,5.225653373749537,7.633459386605648,0.8273782010550772,,
R6_N126,primary,hgb,residual,14,0.6266148181780247,0.8068928567225179,-0.6025552904935368,0.4105410070513926,1.5251438427893047,6.507151701345047,,
