method,observable,n,mae,rmse,bias,median_ae,p95_ae,regime
B_hgb_residual,Sp,0,,,,,,R1_Sn
B_hgb_residual,S2p,0,,,,,,R1_Sn
B_hgb_residual,Qalpha,0,,,,,,R1_Sn
B_hgb_residual,delta2n,28,0.5612237142324099,0.8307800364089385,-0.04087298408814734,0.3885316637043843,1.8563546977510779,R1_Sn
B_hgb_residual,delta2p,0,,,,,,R1_Sn
B_hgb_adaptive,Sn,31,0.880757883741408,1.1144181091073389,-0.06150470750025115,0.745011628310067,1.96165078775266,R1_Sn
B_hgb_adaptive,S2n,30,1.1209314356018847,1.4193054552159812,-0.1430473453460839,0.9510379948351328,2.812801145931937,R1_Sn
B_hgb_adaptive,Sp,0,,,,,,R1_Sn
B_hgb_adaptive,S2p,0,,,,,,R1_Sn
B_hgb_adaptive,Qalpha,0,,,,,,R1_Sn
B_hgb_adaptive,delta2n,28,1.792782170477072,2.21959389664442,-0.11539852372757357,1.591671452602668,3.992544306991601,R1_Sn
B_hgb_adaptive,delta2p,0,,,,,,R1_Sn
B_mlp_data,Sn,31,0.783497582081696,1.1042078814671288,0.057841089423336156,0.5980183100421073,2.5073216972535874,R1_Sn
B_mlp_data,S2n,30,1.3559411044542837,1.8950007881535775,0.08212175986976339,1.0651604009704556,4.249006769861445,R1_Sn
B_mlp_data,Sp,0,,,,,,R1_Sn
B_mlp_data,S2p,0,,,,,,R1_Sn
B_mlp_data,Qalpha,0,,,,,,R1_Sn
B_mlp_data,delta2n,28,1.0314551362679407,1.702274305911528,-0.5231491261921073,0.4688140342802285,3.471516204958242,R1_Sn
B_mlp_data,delta2p,0,,,,,,R1_Sn
B_mlp_soft,Sn,31,0.7318501542952163,0.8821673721407098,-0.06075177033820974,0.6877620054433464,1.4522743190277652,R1_Sn
B_mlp_soft,S2n,30,1.3323696414820536,1.5915051749215328,-0.18383054317326544,1.034304243851068,3.022494109196949,R1_Sn
B_mlp_soft,Sp,0,,,,,,R1_Sn
B_mlp_soft,S2p,0,,,,,,R1_Sn
B_mlp_soft,Qalpha,0,,,,,,R1_Sn
