regime,family,mechanism,observable,n,G
R6_N50,ridge,soft,delta2p,15,1.0
R6_N50,ridge,residual,Sp,18,1.2084434981905137
R6_N50,ridge,residual,S2p,17,0.818239470163519
R6_N50,ridge,residual,delta2p,15,0.8556278862453675
R6_N50,ridge,adaptive,Sp,18,0.9987865409974548
R6_N50,ridge,adaptive,S2p,17,0.5617019722879639
R6_N50,ridge,adaptive,delta2p,15,0.8438348810706111
R6_N50,hgb,soft,Sp,18,2.3232594717265664
R6_N50,hgb,soft,S2p,17,2.0614677580042784
R6_N50,hgb,soft,delta2p,15,2.243431675190015
R6_N50,hgb,residual,Sp,18,4.6610532277975265
R6_N50,hgb,residual,S2p,17,4.484684974972763
R6_N50,hgb,residual,delta2p,15,5.560617263475214
R6_N50,hgb,adaptive,Sp,18,1.877859499214715
R6_N50,hgb,adaptive,S2p,17,1.9297346535895954
R6_N50,hgb,adaptive,delta2p,15,1.8765283412392713
R6_N50,mlp,soft,Sp,18,2.155885268413328
R6_N50,mlp,soft,S2p,17,1.2882291951288845
R6_N50,mlp,soft,delta2p,15,1.9317854841873952
R6_N50,mlp,residual,Sp,18,3.771934035127393
R6_N50,mlp,residual,S2p,17,2.5313994672502047
R6_N50,mlp,residual,delta2p,15,2.2034161295623496
R6_N50,mlp,adaptive,Sp,18,1.818922102488646
R6_N50,mlp,adaptive,S2p,17,1.3690821878624202
R6_N50,mlp,adaptive,delta2p,15,1.856320653765487
R6_N82,ridge,soft,Sp,21,1.0
R6_N82,ridge,soft,S2p,20,1.0
R6_N82,ridge,soft,delta2p,18,1.0
R6_N82,ridge,residual,Sp,21,1.0380322932961827
R6_N82,ridge,residual,S2p,20,1.0446099861147948
R6_N82,ridge,residual,delta2p,18,1.011573855825408
R6_N82,ridge,adaptive,Sp,21,0.8583700173753153
R6_N82,ridge,adaptive,S2p,20,0.9134119968040857
R6_N82,ridge,adaptive,delta2p,18,0.9643249947037178
R6_N82,hgb,soft,Sp,21,1.6565718536369303
R6_N82,hgb,soft,S2p,20,1.464740106841356
R6_N82,hgb,soft,delta2p,18,1.981515981968107
R6_N82,hgb,residual,Sp,21,4.943090083849107
R6_N82,hgb,residual,S2p,20,4.546185385011125
R6_N82,hgb,residual,delta2p,18,6.388766807325676
R6_N82,hgb,adaptive,Sp,21,1.577393590152581
R6_N82,hgb,adaptive,S2p,20,1.5938968310060102
