N,Z,observable,derived_keV,official_keV,abs_diff_keV
9,5,Qalpha_keV,-11813.856999999989,-11813.8576,0.0006000000103085767
8,6,Sn_keV,8176.433700000009,8176.4341,0.00039999999171413947
8,6,Sp_keV,20831.02500000001,20831.0258,0.0007999999907042366
8,6,S2n_keV,13122.742000000013,13122.7428,0.0007999999870662577
8,6,S2p_keV,36635.80960000001,36635.8103,0.0006999999895924702
8,6,Qalpha_keV,-12012.508799999996,-12012.5091,0.00030000000333529897
7,7,Sn_keV,10553.383000000002,10553.3823,0.000700000002325396
7,7,Sp_keV,7550.563699999999,7550.5636,9.999999838328222e-05
7,7,S2n_keV,30617.287200000006,30617.2874,0.00019999999494757503
7,7,S2p_keV,25083.9228,25083.9232,0.0004000000008090865
7,7,Qalpha_keV,-11612.109800000006,-11612.1097,0.00010000000474974513
6,8,Sn_keV,23178.9694,23178.9686,0.000800000001618173
6,8,Sp_keV,4626.672000000006,4626.671,0.001000000005660695
6,8,S2n_keV,40148.19020000001,40148.1899,0.0003000000142492354
6,8,S2p_keV,6570.161000000007,6570.161,7.275957614183426e-12
6,8,Qalpha_keV,-10115.807799999995,-10115.8076,0.00019999999494757503
5,9,Sp_keV,-1559.9994000000006,-1559.9999,0.0004999999994197424
5,9,S2p_keV,-48.392599999991944,-48.3925,9.999999194576503e-05
5,9,Qalpha_keV,-9260.540999999997,-9260.5406,0.0003999999971711077
11,4,Sn_keV,-1800.000199999995,-1800.0,0.00019999999494757503
11,4,S2n_keV,-24.104699999996228,-24.1049,0.0002000000037725158
10,5,Sn_keV,2777.625600000014,2777.6245,0.001100000014048419
10,5,Sp_keV,18286.094800000006,18286.0941,0.0007000000077823643
10,5,S2n_keV,3747.204800000007,3747.2047,0.00010000000702348188
10,5,S2p_keV,42601.4579,42601.4574,0.0005000000019208528
10,5,Qalpha_keV,-14195.795899999997,-14195.795,0.0008999999972729711
9,6,Sn_keV,1218.0668000000005,1218.0662,0.0006000000005315087
9,6,Sp_keV,21079.512600000016,21079.5118,0.0008000000161700882
9,6,S2n_keV,9394.50050000001,9394.5003,0.00020000000949949026
9,6,S2p_keV,38363.87730000001,38363.8765,0.0008000000088941306
9,6,Qalpha_keV,-12728.939400000003,-12728.9395,9.999999747378752e-05
8,7,Sn_keV,10833.297299999991,10833.2968,0.0004999999910069164
8,7,Sp_keV,10207.427299999981,10207.4263,0.0009999999820138328
8,7,S2n_keV,21386.680299999993,21386.6791,0.001199999991513323
8,7,S2p_keV,31038.45229999999,31038.4521,0.00019999999130959623
8,7,Qalpha_keV,-10991.186799999996,-10991.1859,0.0008999999954539817
7,8,Sn_keV,13223.476299999995,13223.477,0.0007000000059633749
7,8,Sp_keV,7296.765299999999,7296.7657,0.0004000000008090865
7,8,S2n_keV,36402.4457,36402.4456,9.999999747378752e-05
7,8,S2p_keV,14847.328999999998,14847.3293,0.00030000000151630957
7,8,Qalpha_keV,-10218.690799999997,-10218.6907,9.999999747378752e-05
6,9,Sn_keV,23468.9681,23468.9686,0.0005000000019208528
6,9,Sp_keV,-1270.0007000000041,-1269.9999,0.0008000000041192834
6,9,S2p_keV,3356.671300000002,3356.6711,0.0002000000017687853
6,9,Qalpha_keV,-10223.807799999995,-10223.8076,0.00019999999494757503
5,10,Sp_keV,-961.9998999999953,-961.9999,4.774847184307873e-12
5,10,S2p_keV,-2521.999299999996,-2521.9999,0.0006000000039421138
5,10,Qalpha_keV,-9948.455900000008,-9948.4554,0.000500000007377821
12,4,Sn_keV,449.99959999999555,450.0,0.0004000000044470653
12,4,S2n_keV,-1350.0005999999994,-1350.0001,0.0004999999994197424
11,5,Sn_keV,-83.00100000000384,-83.0012,0.00019999999615549768
11,5,Sp_keV,20003.093999999997,20003.0929,0.0010999999976775143
11,5,S2n_keV,2694.62460000001,2694.6232,0.0014000000101077603
11,5,Qalpha_keV,-14322.794800000003,-14322.7938,0.0010000000038417056
10,6,Sn_keV,4250.329599999997,4250.3301,0.0005000000028303475
10,6,Sp_keV,22552.2166,22552.2174,0.000800000001618173
10,6,S2n_keV,5468.396399999998,5468.3962,0.00019999999767605914
