vintage,N,Z,A,element,origin,mass_excess_keV,mass_excess_unc_keV,be_per_A_keV,be_per_A_unc_keV,beta_mode,beta_keV,beta_unc_keV,atomic_mass_u,atomic_mass_unc_micro_u,mass_estimated,be_estimated,beta_estimated,atomic_mass_estimated,mass_excess_raw,be_per_A_raw,raw_line,B_total_MeV,B_total_unc_MeV,I,even_N,even_Z
2012,5,8,13,O,+3n,23115.439,9.526,5811.762,0.733,B-,,,13.024815446,10.226,False,False,False,False,23115.439,5811.762,  -3    5    8   13 O   +3n   23115.439      9.526     5811.762    0.733 B-      *               13 024815.446     10.226  ,75.55290600000001,0.009529,-0.23076923076923078,0,1
2012,10,4,14,Be,x,39954.498,132.245,4993.897,9.446,B-,16290.813,133.936,14.04289292,141.97,False,False,False,False,39954.498,4993.897,0  6   10    4   14 Be    x   39954.498    132.245     4993.897    9.446 B-  16290.813  133.936  14 042892.920    141.970  ,69.914558,0.132244,0.42857142857142855,1,1
2012,9,5,14,B,,23663.685,21.213,6101.644,1.515,B-,20643.792,21.213,14.025404012,22.773,False,False,False,False,23663.685,6101.644,   4    9    5   14 B         23663.685     21.213     6101.644    1.515 B-  20643.792   21.213  14 025404.012     22.773  ,85.423016,0.021209999999999996,0.2857142857142857,0,0
2012,8,6,14,C,,3019.89278,0.00376,7520.319,0.0,B-,156.476,0.004,14.00324198843,0.00403,False,False,False,False,3019.89278,7520.319,   2    8    6   14 C          3019.89278    0.00376   7520.319    0.000 B-    156.476    0.004  14 003241.98843    0.00403,105.284466,0.0,0.14285714285714285,1,1
2012,7,7,14,N,,2863.41669,0.00019,7475.614,0.0,B-,-5144.04,0.11,14.00307400443,0.0002,False,False,False,False,2863.41669,7475.614,   0    7    7   14 N          2863.41669    0.00019   7475.614    0.000 B-  -5144.040    0.110  14 003074.00443    0.00020,104.65859599999999,0.0,0.0,0,0
2012,6,8,14,O,,8007.457,0.11,7052.301,0.008,B-,-23956.953,41.119,14.008596359,0.117,False,False,False,False,8007.457,7052.301,  -2    6    8   14 O          8007.457      0.110     7052.301    0.008 B- -23956.953   41.119  14 008596.359      0.117  ,98.73221400000001,0.000112,-0.14285714285714285,1,1
2012,5,9,14,F,-p,31964.41,41.119,5285.208,2.937,B-,,,14.034315207,44.142,False,False,False,False,31964.410,5285.208,  -4    5    9   14 F    -p   31964.410     41.119     5285.208    2.937 B-      *               14 034315.207     44.142  ,73.99291199999999,0.041117999999999995,-0.2857142857142857,0,0
2012,10,5,15,B,,28957.988,21.043,5880.002,1.403,B-,19084.844,21.059,15.03108768,22.59,False,False,False,False,28957.988,5880.002,   5   10    5   15 B         28957.988     21.043     5880.002    1.403 B-  19084.844   21.059  15 031087.680     22.590  ,88.20003,0.021045,0.3333333333333333,1,0
2012,9,6,15,C,-n,9873.144,0.8,7100.169,0.053,B-,9771.705,0.8,15.010599256,0.858,False,False,False,False,9873.144,7100.169,   3    9    6   15 C    -n    9873.144      0.800     7100.169    0.053 B-   9771.705    0.800  15 010599.256      0.858  ,106.50253500000001,0.0007949999999999999,0.2,0,1
2012,8,7,15,N,,101.43866,0.0006,7699.46,0.0,B-,-2754.166,0.491,15.00010889888,0.00064,False,False,False,False,101.43866,7699.460,   1    8    7   15 N           101.43866    0.00060   7699.460    0.000 B-  -2754.166    0.491  15 000108.89888    0.00064,115.4919,0.0,0.06666666666666667,1,0
2012,7,8,15,O,,2855.605,0.491,7463.692,0.033,B-,-13951.205,62.398,15.003065618,0.526,False,False,False,False,2855.605,7463.692,  -1    7    8   15 O          2855.605      0.491     7463.692    0.033 B- -13951.205   62.398  15 003065.618      0.526  ,111.95538,0.000495,-0.06666666666666667,0,1
2012,6,9,15,F,,16806.81,62.396,6481.455,4.16,B-,,,15.018042853,66.985,False,False,False,False,16806.810,6481.455,  -3    6    9   15 F         16806.810     62.396     6481.455    4.160 B-      *               15 018042.853     66.985  ,97.221825,0.062400000000000004,-0.2,1,0
2012,12,4,16,Be,-nn,57447.132,165.797,4285.285,10.362,B-,20334.862,167.609,16.061672036,177.99,False,False,False,False,57447.132,4285.285,0  8   12    4   16 Be  -nn   57447.132    165.797     4285.285   10.362 B-  20334.862  167.609  16 061672.036    177.990  ,68.56456,0.165792,0.5,1,1
2012,11,5,16,B,,37112.271,24.577,5507.317,1.536,B-,23418.142,24.836,16.039841663,26.384,False,False,False,False,37112.271,5507.317,   6   11    5   16 B         37112.271     24.577     5507.317    1.536 B-  23418.142   24.836  16 039841.663     26.384  ,88.117072,0.024576,0.375,0,0
2012,10,6,16,C,-nn,13694.128,3.578,6922.054,0.224,B-,8010.221,4.254,16.014701252,3.84,False,False,False,False,13694.128,6922.054,   4   10    6   16 C   -nn   13694.128      3.578     6922.054    0.224 B-   8010.221    4.254  16 014701.252      3.840  ,110.752864,0.003584,0.25,1,1
2012,9,7,16,N,-n,5683.907,2.301,7373.796,0.144,B-,10420.908,2.301,16.006101925,2.47,False,False,False,False,5683.907,7373.796,   2    9    7   16 N    -n    5683.907      2.301     7373.796    0.144 B-  10420.908    2.301  16 006101.925      2.470  ,117.98073600000001,0.0023039999999999996,0.125,0,0
2012,8,8,16,O,,-4737.00137,0.00016,7976.206,0.0,B-,-15417.256,8.321,15.99491461957,0.00017,False,False,False,False,-4737.00137,7976.206,   0    8    8   16 O         -4737.00137    0.00016   7976.206    0.000 B- -15417.256    8.321  15 994914.61957    0.00017,127.619296,0.0,0.0,1,1
2012,7,9,16,F,-,10680.254,8.321,6963.731,0.52,B-,-13305.9,22.106,16.011465725,8.932,False,False,False,False,10680.254,6963.731,  -2    7    9   16 F     -   10680.254      8.321     6963.731    0.520 B- -13305.900   22.106  16 011465.725      8.932  ,111.419696,0.008320000000000001,-0.125,0,0
2012,6,10,16,Ne,--,23986.154,20.48,6083.216,1.28,B-,,,16.025750197,21.986,False,False,False,False,23986.154,6083.216,  -4    6   10   16 Ne   --   23986.154     20.480     6083.216    1.280 B-      *               16 025750.197     21.986  ,97.331456,0.02048,-0.25,1,1
2012,12,5,17,B,x,43770.816,170.873,5266.461,10.051,B-,22740.038,171.753,17.046989906,183.44,False,False,False,False,43770.816,5266.461,0  7   12    5   17 B     x   43770.816    170.873     5266.461   10.051 B-  22740.038  171.753  17 046989.906    183.440  ,89.529837,0.170867,0.4117647058823529,1,0
2012,11,6,17,C,2p-n,21030.778,17.365,6558.09,1.021,B-,13160.703,22.946,17.02257747,18.641,False,False,False,False,21030.778,6558.090,   5   11    6   17 C  2p-n   21030.778     17.365     6558.090    1.021 B-  13160.703   22.946  17 022577.470     18.641  ,111.48752999999999,0.017357,0.29411764705882354,0,1
2012,10,7,17,N,+p,7870.075,15.0,7286.229,0.882,B-,8678.839,15.0,17.008448873,16.103,False,False,False,False,7870.075,7286.229,   3   10    7   17 N    +p    7870.075     15.000     7286.229    0.882 B-   8678.839   15.000  17 008448.873     16.103  ,123.86589300000001,0.014994,0.17647058823529413,1,0
2012,9,8,17,O,,-808.76361,0.00064,7750.728,0.0,B-,-2760.465,0.248,16.9991317565,0.00069,False,False,False,False,-808.76361,7750.728,   1    9    8   17 O          -808.76361    0.00064   7750.728    0.000 B-  -2760.465    0.248  16 999131.75650    0.00069,131.762376,0.0,0.058823529411764705,0,1
2012,8,9,17,F,,1951.701,0.248,7542.328,0.015,B-,-14548.749,0.432,17.002095237,0.266,False,False,False,False,1951.701,7542.328,  -1    8    9   17 F          1951.701      0.248     7542.328    0.015 B- -14548.749    0.432  17 002095.237      0.266  ,128.219576,0.000255,-0.058823529411764705,1,0
2012,7,10,17,Ne,x,16500.451,0.354,6640.499,0.021,B-,,,17.017713963,0.38,False,False,False,False,16500.451,6640.499,  -3    7   10   17 Ne    x   16500.451      0.354     6640.499    0.021 B-      *               17 017713.963      0.380  ,112.888483,0.00035700000000000006,-0.17647058823529413,0,1
2012,13,5,18,B,-n,51847.133,170.947,4973.602,9.497,B-,26929.008,173.559,18.055660189,183.518,False,False,False,False,51847.133,4973.602,0  8   13    5   18 B    -n   51847.133    170.947     4973.602    9.497 B-  26929.008  173.559  18 055660.189    183.518  ,89.524836,0.170946,0.4444444444444444,0,0
2012,12,6,18,C,++,24918.124,30.0,6426.195,1.667,B-,11804.956,35.282,18.026750708,32.206,False,False,False,False,24918.124,6426.195,   6   12    6   18 C    ++   24918.124     30.000     6426.195    1.667 B-  11804.956   35.282  18 026750.708     32.206  ,115.67151,0.030006,0.3333333333333333,1,1
2012,11,7,18,N,+,13113.168,18.57,7038.562,1.032,B-,13895.984,18.57,18.014077565,19.935,False,False,False,False,13113.168,7038.562,   4   11    7   18 N     +   13113.168     18.570     7038.562    1.032 B-  13895.984   18.570  18 014077.565     19.935  ,126.694116,0.018576000000000002,0.2222222222222222,0,0
2012,10,8,18,O,,-782.81558,0.00071,7767.097,0.0,B-,-1655.929,0.463,17.99915961286,0.00076,False,False,False,False,-782.81558,7767.097,   2   10    8   18 O          -782.81558    0.00071   7767.097    0.000 B-  -1655.929    0.463  17 999159.61286    0.00076,139.80774599999998,0.0,0.1111111111111111,1,1
2012,9,9,18,F,,873.113,0.463,7631.638,0.026,B-,-4444.51,0.589,18.000937325,0.497,False,False,False,False,873.113,7631.638,   0    9    9   18 F           873.113      0.463     7631.638    0.026 B-  -4444.510    0.589  18 000937.325      0.497  ,137.369484,0.000468,0.0,0,0
2012,8,10,18,Ne,,5317.623,0.364,7341.257,0.02,B-,-19719.308,112.477,18.005708703,0.39,False,False,False,False,5317.623,7341.257,  -2    8   10   18 Ne         5317.623      0.364     7341.257    0.020 B- -19719.308  112.477  18 005708.703      0.390  ,132.14262599999998,0.00035999999999999997,-0.1111111111111111,1,1
2012,7,11,18,Na,-p,25036.931,112.476,6202.276,6.249,B-,,,18.026878252,120.748,False,False,False,False,25036.931,6202.276,  -4    7   11   18 Na   -p   25036.931    112.476     6202.276    6.249 B-      *               18 026878.252    120.748  ,111.64096799999999,0.112482,-0.2222222222222222,0,0
2012,13,6,19,C,-n,32412.612,98.389,6118.333,5.178,B-,16557.091,99.748,19.034796372,105.625,False,False,False,False,32412.612,6118.333,   7   13    6   19 C    -n   32412.612     98.389     6118.333    5.178 B-  16557.091   99.748  19 034796.372    105.625  ,116.24832699999999,0.09838200000000001,0.3684210526315789,0,1
2012,12,7,19,N,p-2n,15855.521,16.404,6948.583,0.863,B-,12522.664,16.614,19.017021603,17.61,False,False,False,False,15855.521,6948.583,   5   12    7   19 N  p-2n   15855.521     16.404     6948.583    0.863 B-  12522.664   16.614  19 017021.603     17.610  ,132.023077,0.016397,0.2631578947368421,1,0
2012,11,8,19,O,-n,3332.858,2.637,7566.494,0.139,B-,4820.302,2.637,19.00357797,2.83,False,False,False,False,3332.858,7566.494,   3   11    8   19 O    -n    3332.858      2.637     7566.494    0.139 B-   4820.302    2.637  19 003577.970      2.830  ,143.763386,0.002641,0.15789473684210525,0,1
2012,10,9,19,F,,-1487.44434,0.00086,7779.018,0.0,B-,-3239.498,0.16,18.99840316273,0.00092,False,False,False,False,-1487.44434,7779.018,   1   10    9   19 F         -1487.44434    0.00086   7779.018    0.000 B-  -3239.498    0.160  18 998403.16273    0.00092,147.801342,0.0,0.05263157894736842,1,0
2012,9,10,19,Ne,+3n,1752.054,0.16,7567.342,0.008,B-,-11177.337,10.536,19.001880907,0.171,False,False,False,False,1752.054,7567.342,  -1    9   10   19 Ne  +3n    1752.054      0.160     7567.342    0.008 B- -11177.337   10.536  19 001880.907      0.171  ,143.779498,0.000152,-0.05263157894736842,0,1
2012,8,11,19,Na,,12929.391,10.535,6937.885,0.554,B-,-18899.001,51.099,19.013880272,11.309,False,False,False,False,12929.391,6937.885,  -3    8   11   19 Na        12929.391     10.535     6937.885    0.554 B- -18899.001   51.099  19 013880.272     11.309  ,131.819815,0.010526000000000002,-0.15789473684210525,1,0
2012,7,12,19,Mg,-pp,31828.392,50.001,5902.025,2.632,B-,,,19.034169186,53.678,False,False,False,False,31828.392,5902.025,  -5    7   12   19 Mg  -pp   31828.392     50.001     5902.025    2.632 B-      *               19 034169.186     53.678  ,112.13847499999999,0.050008000000000004,-0.2631578947368421,0,1
2012,14,6,20,C,x,37557.61,239.161,5958.733,11.958,B-,15792.5,245.536,20.040319754,256.749,False,False,False,False,37557.610,5958.733,   8   14    6   20 C     x   37557.610    239.161     5958.733   11.958 B-  15792.500  245.536  20 040319.754    256.749  ,119.17466,0.23915999999999998,0.4,1,1
2012,13,7,20,N,x,21765.11,55.59,6709.24,2.779,B-,17968.942,55.597,20.023365807,59.678,False,False,False,False,21765.110,6709.240,   6   13    7   20 N     x   21765.110     55.590     6709.240    2.779 B-  17968.942   55.597  20 023365.807     59.678  ,134.1848,0.05558,0.3,0,0
2012,12,8,20,O,-nn,3796.168,0.885,7568.57,0.044,B-,3813.632,0.885,20.004075354,0.95,False,False,False,False,3796.168,7568.570,   4   12    8   20 O   -nn    3796.168      0.885     7568.570    0.044 B-   3813.632    0.885  20 004075.354      0.950  ,151.3714,0.0008799999999999999,0.2,1,1
2012,11,9,20,F,-n,-17.463,0.03,7720.134,0.002,B-,7024.467,0.03,19.999981252,0.031,False,False,False,False,-17.463,7720.134,   2   11    9   20 F    -n     -17.463      0.030     7720.134    0.002 B-   7024.467    0.030  19 999981.252      0.031  ,154.40268,4e-05,0.1,0,0
2012,10,10,20,Ne,,-7041.93055,0.00157,8032.24,0.0,B-,-13892.535,1.114,19.99244017617,0.00168,False,False,False,False,-7041.93055,8032.240,   0   10   10   20 Ne        -7041.93055    0.00157   8032.240    0.000 B- -13892.535    1.114  19 992440.17617    0.00168,160.64479999999998,0.0,0.0,1,1
2012,9,11,20,Na,,6850.604,1.114,7298.496,0.056,B-,-10708.063,27.023,20.007354426,1.195,False,False,False,False,6850.604,7298.496,  -2    9   11   20 Na         6850.604      1.114     7298.496    0.056 B- -10708.063   27.023  20 007354.426      1.195  ,145.96992,0.0011200000000000001,-0.1,0,0
