vintage,N,Z,A,element,origin,mass_excess_keV,mass_excess_unc_keV,be_per_A_keV,be_per_A_unc_keV,beta_mode,beta_keV,beta_unc_keV,atomic_mass_u,atomic_mass_unc_micro_u,mass_estimated,be_estimated,beta_estimated,atomic_mass_estimated,mass_excess_raw,be_per_A_raw,raw_line,B_total_MeV,B_total_unc_MeV,I,even_N,even_Z
2020,12,13,25,Al,,-8915.974,0.065,8021.1366,0.0026,B-,-12743.2956,10.0002,24.990428308,0.069,False,False,False,False,-8915.974,8021.1366,  -1   12   13   25 Al        -8915.974       0.065      8021.1366     0.0026  B- -12743.2956    10.0002   24 990428.308       0.069   ,200.528415,6.500000000000001e-05,-0.04,1,0
2020,11,14,25,Si,+3n,3827.322,10.0,7480.1109,0.4,B-,-16363.0,400.0,25.004108798,10.735,False,False,True,False,3827.322,7480.1109,  -3   11   14   25 Si  +3n    3827.322      10.000      7480.1109     0.4000  B- -16363#       400#       25 004108.798      10.735   ,187.0027725,0.01,-0.12,0,1
2020,18,8,26,O,-nn,34661.041,164.95,6497.479,6.3442,B-,15986.3855,196.6301,26.037210155,177.081,False,False,False,False,34661.041,6497.4790,0 10   18    8   26 O   -nn   34661.041     164.950      6497.4790     6.3442  B-  15986.3855   196.6301   26 037210.155     177.081   ,168.934454,0.1649492,0.38461538461538464,1,1
2020,17,9,26,F,,18674.655,107.027,7082.2497,4.1164,B-,18193.5414,108.6022,26.020048065,114.898,False,False,False,False,18674.655,7082.2497,   8   17    9   26 F         18674.655     107.027      7082.2497     4.1164  B-  18193.5414   108.6022   26 020048.065     114.898   ,184.1384922,0.1070264,0.3076923076923077,0,0
2020,16,10,26,Ne,x,481.114,18.429,7751.911,0.7088,B-,7341.894,18.7585,26.000516496,19.784,False,False,False,False,481.114,7751.9110,   6   16   10   26 Ne    x     481.114      18.429      7751.9110     0.7088  B-   7341.8940    18.7585   26 000516.496      19.784   ,201.54968599999998,0.0184288,0.23076923076923078,1,1
2020,15,11,26,Na,x,-6860.78,3.502,8004.2013,0.1347,B-,9353.7631,3.5018,25.992634649,3.759,False,False,False,False,-6860.780,8004.2013,   4   15   11   26 Na    x   -6860.780       3.502      8004.2013     0.1347  B-   9353.7631     3.5018   25 992634.649       3.759   ,208.1092338,0.0035021999999999996,0.15384615384615385,0,0
2020,14,12,26,Mg,,-16214.544,0.029,8333.8711,0.0011,B-,-4004.4042,0.0629,25.982592972,0.031,False,False,False,False,-16214.544,8333.8711,   2   14   12   26 Mg       -16214.544       0.029      8333.8711     0.0011  B-  -4004.4042     0.0629   25 982592.972       0.031   ,216.6806486,2.86e-05,0.07692307692307693,1,1
2020,13,13,26,Al,,-12210.139,0.066,8149.7653,0.0026,B-,-5069.1361,0.0849,25.986891876,0.071,False,False,False,False,-12210.139,8149.7653,   0   13   13   26 Al       -12210.139       0.066      8149.7653     0.0026  B-  -5069.1361     0.0849   25 986891.876       0.071   ,211.89389780000002,6.759999999999999e-05,0.0,0,0
2020,12,14,26,Si,-,-7141.003,0.108,7924.7083,0.0041,B-,-18114.0,196.0,25.992333818,0.115,False,False,True,False,-7141.003,7924.7083,  -2   12   14   26 Si    -   -7141.003       0.108      7924.7083     0.0041  B- -18114#       196#       25 992333.818       0.115   ,206.04241580000001,0.00010660000000000002,-0.07692307692307693,1,1
2020,18,9,27,F,,25133.478,120.198,6879.6662,4.4518,B-,18082.568,150.6211,27.026981897,129.037,False,False,False,False,25133.478,6879.6662,   9   18    9   27 F         25133.478     120.198      6879.6662     4.4518  B-  18082.5680   150.6211   27 026981.897     129.037   ,185.75098739999999,0.12019860000000002,0.3333333333333333,1,0
2020,17,10,27,Ne,x,7050.91,90.77,7520.4151,3.3619,B-,12568.7005,90.8467,27.007569462,97.445,False,False,False,False,7050.910,7520.4151,   7   17   10   27 Ne    x    7050.910      90.770      7520.4151     3.3619  B-  12568.7005    90.8467   27 007569.462      97.445   ,203.0512077,0.0907713,0.25925925925925924,0,1
2020,16,11,27,Na,++,-5517.791,3.726,7956.9467,0.138,B-,9068.8037,3.7266,26.994076408,4.0,False,False,False,False,-5517.791,7956.9467,   5   16   11   27 Na   ++   -5517.791       3.726      7956.9467     0.1380  B-   9068.8037     3.7266   26 994076.408       4.000   ,214.8375609,0.0037260000000000006,0.18518518518518517,1,0
2020,15,12,27,Mg,,-14586.594,0.047,8263.8525,0.0018,B-,2610.2694,0.0669,26.984340647,0.05,False,False,False,False,-14586.594,8263.8525,   3   15   12   27 Mg       -14586.594       0.047      8263.8525     0.0018  B-   2610.2694     0.0669   26 984340.647       0.050   ,223.1240175,4.8599999999999995e-05,0.1111111111111111,0,1
2020,14,13,27,Al,,-17196.864,0.047,8331.5533,0.0018,B-,-4812.3583,0.0964,26.981538408,0.05,False,False,False,False,-17196.864,8331.5533,   1   14   13   27 Al       -17196.864       0.047      8331.5533     0.0018  B-  -4812.3583     0.0964   26 981538.408       0.050   ,224.95193909999998,4.8599999999999995e-05,0.037037037037037035,1,0
2020,13,14,27,Si,-,-12384.505,0.107,8124.342,0.004,B-,-11725.473,9.0013,26.986704687,0.115,False,False,False,False,-12384.505,8124.3420,  -1   13   14   27 Si    -  -12384.505       0.107      8124.3420     0.0040  B- -11725.4730     9.0013   26 986704.687       0.115   ,219.357234,0.000108,-0.037037037037037035,0,1
2020,12,15,27,P,-p,-659.032,9.001,7661.0894,0.3334,B-,-18150.0,400.0,26.999292499,9.662,False,False,True,False,-659.032,7661.0894,  -3   12   15   27 P    -p    -659.032       9.001      7661.0894     0.3334  B- -18150#       400#       26 999292.499       9.662   ,206.8494138,0.009001799999999999,-0.1111111111111111,1,0
2020,19,9,28,F,-n,33403.796,120.347,6626.8567,4.2981,B-,22104.0579,174.2886,28.035860448,129.198,False,False,False,False,33403.796,6626.8567,  10   19    9   28 F    -n   33403.796     120.347      6626.8567     4.2981  B-  22104.0579   174.2886   28 035860.448     129.198   ,185.5519876,0.1203468,0.35714285714285715,0,0
2020,18,10,28,Ne,x,11299.738,126.068,7388.3463,4.5024,B-,12288.0534,126.4833,28.012130767,135.339,False,False,False,False,11299.738,7388.3463,   8   18   10   28 Ne    x   11299.738     126.068      7388.3463     4.5024  B-  12288.0534   126.4833   28 012130.767     135.339   ,206.87369640000003,0.1260672,0.2857142857142857,1,1
2020,17,11,28,Na,x,-988.315,10.246,7799.2644,0.3659,B-,14031.6303,10.2498,27.998939,11.0,False,False,False,False,-988.315,7799.2644,   6   17   11   28 Na    x    -988.315      10.246      7799.2644     0.3659  B-  14031.6303    10.2498   27 998939.000      11.000   ,218.3794032,0.010245200000000001,0.21428571428571427,0,0
2020,16,12,28,Mg,x,-15019.946,0.261,8272.4531,0.0093,B-,1830.774,0.2653,27.983875426,0.28,False,False,False,False,-15019.946,8272.4531,   4   16   12   28 Mg    x  -15019.946       0.261      8272.4531     0.0093  B-   1830.7740     0.2653   27 983875.426       0.280   ,231.62868680000003,0.0002604,0.14285714285714285,1,1
2020,15,13,28,Al,-n,-16850.719,0.049,8309.8969,0.0018,B-,4642.0776,0.0486,27.981910009,0.052,False,False,False,False,-16850.719,8309.8969,   2   15   13   28 Al   -n  -16850.719       0.049      8309.8969     0.0018  B-   4642.0776     0.0486   27 981910.009       0.052   ,232.67711319999998,5.04e-05,0.07142857142857142,0,0
2020,14,14,28,Si,,-21492.79711,0.00051,8447.7445,0.0002,B-,-14344.9407,1.1473,27.97692653442,0.00055,False,False,False,False,-21492.79711,8447.7445,   0   14   14   28 Si       -21492.79711     0.00051    8447.7445     0.0002  B- -14344.9407     1.1473   27 976926.53442     0.00055 ,236.53684600000003,5.6e-06,0.0,1,1
2020,13,15,28,P,,-7147.856,1.147,7907.4842,0.041,B-,-11221.0593,160.0041,27.99232646,1.231,False,False,False,False,-7147.856,7907.4842,  -2   13   15   28 P         -7147.856       1.147      7907.4842     0.0410  B- -11221.0593   160.0041   27 992326.460       1.231   ,221.4095576,0.0011480000000000001,-0.07142857142857142,0,0
