vintage,N,Z,A,element,target_measured,Sn_keV,S2n_keV,Sp_keV,S2p_keV,Qalpha_keV,delta2n_keV,delta2p_keV
2012,52,32,84,Ge,True,5243.381000000052,8876.023999999976,16180.290999999852,,-8924.755999999936,,
2012,51,33,84,As,True,4255.5929999999935,11893.140000000014,12166.157000000123,27500.773999999976,-9054.812000000034,2641.926000000094,3144.1759999999776
2012,50,34,84,Se,True,8678.46399999992,14496.457999999984,13567.412999999942,25110.619999999995,-8837.351999999955,3798.3779999999097,3214.7379999998957
2012,49,35,84,Br,True,6841.013000000035,16428.52199999988,9731.487999999896,22257.98399999994,-7993.5759999998845,2436.767999999807,2716.1339999998454
2012,48,36,84,Kr,True,10520.621000000043,17991.590000000084,10714.841000000131,19423.310000000056,-7104.7639999999665,1022.5600000000559,2761.472000000067
2012,47,37,84,Rb,True,8759.72199999995,19713.802000000025,7057.972999999998,16839.701999999932,-6294.915999999968,583.1319999999832,2737.5379999999423
2012,46,38,84,Sr,True,11923.227000000072,20782.131999999983,8867.91399999999,14637.134000000078,-5181.108000000007,765.8379999999888,2740.100000000093
2012,45,39,84,Y,True,9760.227000000072,21973.111999999965,4384.8150000000605,12283.582000000053,-4142.935999999987,440.7280000000028,2466.204000000027
2012,44,40,84,Zr,True,13581.38899999985,,6504.974999999977,9988.467999999877,-3534.003999999957,,2720.837999999756
2012,43,41,84,Nb,False,,,,,,,
2012,42,42,84,Mo,False,,,,,,,
2012,55,30,85,Zn,False,,,,,,,
2012,54,31,85,Ga,False,,,,,,,
2012,53,32,85,Ge,True,3046.264000000083,8289.645000000135,,,-9348.695000000065,,
2012,52,33,85,As,True,5406.847999999998,9662.440999999992,12329.624000000069,28509.91499999992,-7986.0629999999655,1091.0439999999944,3229.384999999893
2012,51,34,85,Se,True,4537.228000000003,13215.691999999923,13849.047999999952,26015.205000000075,-8546.881999999983,3060.6149999998743,3141.4240000001155
2012,50,35,85,Br,True,8863.684000000125,15704.69700000016,9916.7080000001,23484.121000000043,-8467.123999999953,4245.8470000001835,2883.920000000042
2012,49,36,85,Kr,True,7112.305999999982,17632.927000000025,10986.134000000078,20717.621999999974,-7516.190999999992,2261.0760000001173,2739.9469999999274
2012,48,37,85,Rb,True,10479.66900000011,19239.39100000006,7017.021000000066,17731.862000000197,-6616.576000000117,666.3550000000978,2302.9190000003437
2012,47,38,85,Sr,True,8525.021999999997,20448.24900000007,8633.214000000036,15691.187000000034,-5833.327000000048,528.8340000000317,2869.9279999999562
2012,46,39,85,Y,True,12019.983999999939,21780.21100000001,4481.571999999927,13349.485999999917,-4810.366999999853,461.3630000000121,2740.4249999998137
