vintage,kind,N,Z,A,element,Sn_keV,Sn_unc_keV,Sn_estimated,Sp_keV,Sp_unc_keV,Sp_estimated,Q4beta_keV,Q4beta_unc_keV,Q4beta_estimated,Qda_keV,Qda_unc_keV,Qda_estimated,Qpa_keV,Qpa_unc_keV,Qpa_estimated,Qna_keV,Qna_unc_keV,Qna_estimated,raw_line
2020,rct2,94,65,159,Tb,8133.0163,0.6383,False,6131.5832,0.7471,False,-8962.1775,27.9666,False,12002.1211,0.7476,False,7866.8068,0.7622,False,6196.6648,3.4898,False, 159 Tb  65    8133.0163    0.6383   6131.5832    0.7471  -8962.1775   27.9666  12002.1211    0.7476   7866.8068    0.7622   6196.6648    3.4898
2020,rct2,93,66,159,Dy,6831.3864,2.5866,False,6985.308,1.3195,False,-13333.7031,17.6114,False,12307.4351,1.331,False,5787.8452,3.7852,False,9014.5152,1.3128,False, 159 Dy  66    6831.3864    2.5866   6985.3080    1.3195 -13333.7031   17.6114  12307.4351    1.3310   5787.8452    3.7852   9014.5152    1.3128
2020,rct2,92,67,159,Ho,9213.5419,27.2607,False,4211.4394,3.727,False,-17621.0112,37.7861,False,12805.856,5.896,False,8063.8214,2.9889,False,8407.7922,4.6398,False, 159 Ho  67    9213.5419   27.2607   4211.4394    3.7270 -17621.0112   37.7861  12805.8560    5.8960   8063.8214    2.9889   8407.7922    4.6398
2020,rct2,91,68,159,Er,7328.623,25.4812,False,5662.6949,27.334,False,-21708.5142,17.2031,False,12982.5492,23.745,False,5841.3378,38.5791,False,11614.6684,3.5964,False, 159 Er  68    7328.6230   25.4812   5662.6949   27.3340 -21708.5142   17.2031  12982.5492   23.7450   5841.3378   38.5791  11614.6684    3.5964
2020,rct2,90,69,159,Tm,9938.522,37.6422,False,2555.5598,37.6422,False,-26131.2472,34.1844,False,13554.0508,38.5152,False,8505.3339,37.2492,False,10614.401,47.511,False, 159 Tm  69    9938.5220   37.6422   2555.5598   37.6422 -26131.2472   34.1844  13554.0508   38.5152   8505.3339   37.2492  10614.4010   47.5110
2020,rct2,89,70,159,Yb,7895.2146,19.1878,False,4419.288,30.7431,False,-30400.0,300.0,True,13586.5687,33.0155,False,5864.9551,22.6304,False,14024.5678,30.2573,False, 159 Yb  70    7895.2146   19.1878   4419.2880   30.7431 -30400#      300#      13586.5687   33.0155   5864.9551   22.6304  14024.5678   30.2573
2020,rct2,88,71,159,Lu,10567.7267,40.5866,False,987.9596,38.498,False,-34904.0,307.0,True,14422.1101,39.2101,False,8420.9838,38.7964,False,12772.2102,40.279,False, 159 Lu  71   10567.7267   40.5866    987.9596   38.4980 -34904#      307#      14422.1101   39.2101   8420.9838   38.7964  12772.2102   40.2790
2020,rct2,87,72,159,Hf,8821.5247,24.2631,False,2929.3767,22.6148,False,,,False,14298.0188,20.699,False,5710.9988,56.673,False,16059.3338,19.2175,False, 159 Hf  72    8821.5247   24.2631   2929.3767   22.6148      *                 14298.0188   20.6990   5710.9988   56.6730  16059.3338   19.2175
2020,rct2,86,73,159,Ta,11392.0,202.0,True,-374.2715,9.0354,False,,,False,15126.0,201.0,True,8244.4128,151.0291,False,14906.795,57.5918,False, 159 Ta  73   11392#      202#       -374.2715    9.0354      *                 15126#      201#       8244.4128  151.0291  14906.7950   57.5918
2020,rct2,85,74,159,W,9813.0,424.0,True,1605.0,361.0,True,,,False,14873.0,335.0,True,5431.0905,5.5536,False,18032.0,335.0,True, 159 W   74    9813#      424#       1605#      361#          *                 14873#      335#       5431.0905    5.5536  18032#      335#    
2020,rct2,84,75,159,Re,,,False,-1599.0,53.0,True,,,False,15596.0,502.0,True,,,False,16843.0,427.0,True, 159 Re  75       *                 -1599#       53#          *                 15596#      502#          *                 16843#      427#    
2020,rct2,101,59,160,Pr,3501.0,565.0,True,12149.0,640.0,True,27294.0,400.0,True,11051.0,565.0,True,8595.0,565.0,True,-1483.0,500.0,True,0160 Pr  59    3501#      565#      12149#      640#      27294#      400#      11051#      565#       8595#      565#      -1483#      500#    
2020,rct2,100,60,160,Nd,5071.8259,55.2966,False,13244.0,402.0,True,21217.545,46.5883,False,8136.0,304.0,True,6574.346,46.6823,False,-1148.0,402.0,True, 160 Nd  60    5071.8259   55.2966  13244#      402#      21217.5450   46.5883   8136#      304#       6574.3460   46.6823  -1148#      402#    
2020,rct2,99,61,160,Pm,4411.6056,10.2459,False,10459.6027,29.8782,False,14941.8349,2.3307,False,11651.2916,2.429,False,8463.5331,2.9609,False,1186.5692,3.7723,False, 160 Pm  61    4411.6056   10.2459  10459.6027   29.8782  14941.8349    2.3307  11651.2916    2.4290   8463.5331    2.9609   1186.5692    3.7723
2020,rct2,98,62,160,Sm,6096.6411,6.2478,False,10967.7923,10.2277,False,9439.2528,2.0778,False,9583.7774,2.1482,False,6927.9987,7.2741,False,1907.3463,2.8972,False, 160 Sm  62    6096.6411    6.2478  10967.7923   10.2277   9439.2528    2.0778   9583.7774    2.1482   6927.9987    7.2741   1907.3463    2.8972
