vintage,kind,N,Z,A,element,S2n_keV,S2n_unc_keV,S2n_estimated,S2p_keV,S2p_unc_keV,S2p_estimated,Qalpha_keV,Qalpha_unc_keV,Qalpha_estimated,Q2beta_keV,Q2beta_unc_keV,Q2beta_estimated,Qep_keV,Qep_unc_keV,Qep_estimated,Qbeta_n_keV,Qbeta_n_unc_keV,Qbeta_n_estimated,raw_line
2012,rct1,77,59,136,Pr,18955.07,23.32,False,10699.72,22.99,False,-41.71,38.12,False,-10159.93,72.28,False,-1985.89,14.84,False,-13198.13,22.3,False, 136 Pr  59   18955.07   23.32  10699.72   22.99    -41.71   38.12 -10159.93   72.28  -1985.89   14.84 -13198.13   22.30
2012,rct1,76,60,136,Nd,19695.49,16.71,False,8944.34,23.56,False,846.76,23.62,False,-12388.4,17.2,False,-1871.9,15.65,False,-17243.68,66.27,False, 136 Nd  60   19695.49   16.71   8944.34   23.56    846.76   23.62 -12388.40   17.20  -1871.90   15.65 -17243.68   66.27
2012,rct1,75,61,136,Pm,20584.38,91.81,False,7230.45,74.2,False,1608.07,91.23,False,-14937.0,208.0,True,2466.39,72.34,False,-16394.6,170.3,False, 136 Pm  61   20584.38   91.81   7230.45   74.20   1608.07   91.23 -14937#    208#     2466.39   72.34 -16394.60  170.30
2012,rct1,74,62,136,Sm,21577.0,196.0,True,5742.4,17.2,False,2190.0,27.24,False,-17721.0,298.0,True,2113.75,22.85,False,-20734.0,196.0,True, 136 Sm  62   21577#    196#     5742.40   17.20   2190.00   27.24 -17721#    298#     2113.75   22.85 -20734#    196#  
2012,rct1,73,63,136,Eu,22458.0,357.0,True,4083.0,204.0,True,2959.0,246.0,True,-20185.0,540.0,True,6494.0,206.0,True,-20022.0,446.0,True, 136 Eu  63   22458#    357#     4083#    204#     2959#    246#   -20185#    540#     6494#    206#   -20022#    446#  
2012,rct1,72,64,136,Gd,23930.0,499.0,True,2292.0,357.0,True,3565.0,422.0,True,,,False,6479.0,336.0,True,-24336.0,499.0,True, 136 Gd  64   23930#    499#     2292#    357#     3565#    422#        *              6479#    336#   -24336#    499#  
2012,rct1,71,65,136,Tb,,,False,708.0,585.0,True,3742.0,643.0,True,,,False,10801.0,540.0,True,,,False, 136 Tb  65       *               708#    585#     3742#    643#        *             10801#    540#        *           
2012,rct1,87,50,137,Sn,5299.0,503.0,True,,,False,-8293.0,585.0,True,19516.0,503.0,True,,,False,6650.0,503.0,True,0137 Sn  50    5299#    503#        *             -8293#    585#    19516#    503#        *              6650#    503#  
2012,rct1,86,51,137,Sb,6483.14,300.42,False,28080.0,501.0,True,-4991.0,358.0,True,16326.12,300.52,False,,,False,6324.36,300.42,False, 137 Sb  51    6483.14  300.42  28080#    501#    -4991#    358#    16326.12  300.52      *              6324.36  300.42
2012,rct1,85,52,137,Te,7719.0,3.69,False,23249.92,3.97,False,-854.93,3.47,False,13079.17,2.52,False,-20694.0,401.0,True,2169.94,14.42,False, 137 Te  52    7719.00    3.69  23249.92    3.97   -854.93    3.47  13079.17    2.52 -20694#    401#     2169.94   14.42
