regime,family,mechanism,observable,n,mae,rmse,bias,median_ae,p95_ae,G_vs_data_MAE
R2_neutron_rich,ridge,soft,B/A,491,0.025053435159294864,0.04019729583425898,0.011833881130380633,0.016917346623222862,0.06323644372928872,1.0
R2_neutron_rich,ridge,residual,B/A,491,0.022126008133384827,0.02871286465107446,0.005350978417986906,0.017813232279557667,0.053593057886001993,1.1323070572993683
R2_neutron_rich,ridge,adaptive,B/A,491,0.019090042797417012,0.02784396219079336,-0.001172872109506462,0.012104888151288407,0.05485796163953616,1.3123823463970825
R2_neutron_rich,hgb,data,B/A,491,0.08170488606195005,0.12990575898598705,0.08060541283747163,0.04655961906887107,0.2680731219512804,
R2_neutron_rich,hgb,soft,B/A,491,0.025228587034727832,0.036293622326263535,0.017576717209582447,0.01758750332868786,0.0754218569949332,3.238583514387114
R2_neutron_rich,hgb,residual,B/A,491,0.012644092065256421,0.02592658367788563,-0.005266312345807992,0.00510524736183271,0.05342005680533912,6.461902178524914
R2_neutron_rich,hgb,adaptive,B/A,491,0.04284660159678417,0.0743372539484459,0.041021963365296975,0.022916442537974646,0.1396925573198189,1.9069163718245128
R2_neutron_rich,mlp,data,B/A,491,0.06577949238281121,0.08066826273276462,0.059566282992843875,0.05665166426315338,0.15436225052599895,
R2_neutron_rich,mlp,soft,B/A,491,0.02829923437745429,0.03662839848107686,0.009161065271731333,0.02270281549853337,0.07051301961687706,2.3244265730106486
R2_neutron_rich,mlp,residual,B/A,491,0.008690557866516263,0.01715137174116704,0.0019725469574941442,0.003410326130647512,0.03740953192390073,7.569075931966595
R2_neutron_rich,mlp,adaptive,B/A,491,0.03253593238539727,0.04097803478727715,0.019662276923316756,0.02714414535849219,0.07625129502805095,2.021749111217549
R2_neutron_rich_broad,physics,physics_only,B/A,519,0.04194323266959515,0.08731744905575503,-0.03591563064372723,0.016897524235197636,0.1388075960458811,
R2_neutron_rich_broad,BWN,physics_only_shell_aware,B/A,0,,,,,,
R2_neutron_rich_broad,ridge,data,B/A,519,0.02852528764036725,0.054718749780146264,0.011548230598835928,0.016463192967107965,0.07300316195845598,
R2_neutron_rich_broad,ridge,soft,B/A,519,0.02852528764036725,0.054718749780146264,0.011548230598835928,0.016463192967107965,0.07300316195845598,1.0
R2_neutron_rich_broad,ridge,residual,B/A,519,0.02324557566398615,0.03160460289611911,0.004822115877116574,0.016961562291793797,0.06167389480385612,1.227127607106794
R2_neutron_rich_broad,ridge,adaptive,B/A,519,0.020447258375321686,0.03193425645787081,-0.004544197767374502,0.012122094820893992,0.06367679230462106,1.395066620510608
R2_neutron_rich_broad,hgb,data,B/A,519,0.10328200614502232,0.18135538798229853,0.10269207540352632,0.04924052462976647,0.3893289464487456,
R2_neutron_rich_broad,hgb,soft,B/A,519,0.02877270299659243,0.043680759886604775,0.01952745177517423,0.01760713458357266,0.09249018684514176,3.5895830210061974
R2_neutron_rich_broad,hgb,residual,B/A,519,0.020880261328780108,0.05635708975428286,-0.014567046280125184,0.005338667344256365,0.07651853857106782,4.946394325183304
R2_neutron_rich_broad,hgb,adaptive,B/A,519,0.05292124142602811,0.10398025367303361,0.05074459017747869,0.022225844346172252,0.2115563939386759,1.9516172214022443
R2_neutron_rich_broad,mlp,data,B/A,519,0.08574991538208653,0.11631497431070918,0.08432814506330674,0.06728223030214764,0.21316670509148888,
