N,Z,A,B_total_MeV,B_1_volume,residual_B_1_volume,residual_BA_1_volume,B_2_surface,residual_B_2_surface,residual_BA_2_surface,B_3_coulomb,residual_B_3_coulomb,residual_BA_3_coulomb,B_4_asymmetry,residual_B_4_asymmetry,residual_BA_4_asymmetry,B_5_pairing,residual_B_5_pairing,residual_BA_5_pairing,is_magic_Z,is_magic_N
13,13,26,211.8938978,408.7673042533025,-196.8734064533025,-7.572054094357788,252.10338855438604,-40.20949075438605,-1.5465188751686942,214.4424109556615,-2.54851315566151,-0.09801973675621192,214.4424109556615,-2.54851315566151,-0.09801973675621192,212.16817058535915,-0.2742727853591589,-0.010548953283044572,False,False
12,14,26,206.0424158,408.7673042533025,-202.7248884533025,-7.797111094357788,252.10338855438604,-46.06097275438606,-1.7715758751686945,208.16558135587405,-2.123165555874067,-0.08166021368746411,204.59187513046456,1.4505406695354282,0.05579002575136262,206.8661155007669,-0.8236997007669231,-0.03168075772180474,False,False
17,10,27,203.0512077,424.4891236476603,-221.4379159476603,-8.201404294357788,263.83350407557975,-60.78229637557976,-2.2511961620585095,242.37763906238752,-39.326431362387524,-1.4565344949032417,200.2211415515386,2.830066148461384,0.10481726475782904,200.2211415515386,2.830066148461384,0.10481726475782904,False,False
16,11,27,214.8375609,424.4891236476603,-209.65156274766028,-7.764872694357788,263.83350407557975,-48.995943175579754,-1.8146645620585093,237.60966905945594,-22.77210815945594,-0.8434114133131829,216.10125196208406,-1.2636910620840638,-0.04680337266978014,216.10125196208406,-1.2636910620840638,-0.04680337266978014,False,False
15,12,27,223.1240175,424.4891236476603,-201.36510614766027,-7.457966894357788,263.83350407557975,-40.709486575579746,-1.5077587620585091,232.36490205623116,-9.240884556231151,-0.3422549835641167,224.6218719011773,-1.4978544011772783,-0.05547608893249179,224.6218719011773,-1.4978544011772783,-0.05547608893249179,False,False
14,13,27,224.9519391,424.4891236476603,-199.53718454766027,-7.390266094357788,263.83350407557975,-38.88156497557975,-1.4400579620585092,226.64333805271323,-1.6913989527132287,-0.06264440565604551,225.78300136881836,-0.8310622688183571,-0.03078008403030952,225.78300136881836,-0.8310622688183571,-0.03078008403030952,False,False
13,14,27,219.357234,424.4891236476603,-205.13188964766027,-7.597477394357788,263.83350407557975,-44.47627007557975,-1.6472692620585092,220.44497704890216,-1.087743048902155,-0.0402867795889687,219.5846403650073,-0.22740636500728328,-0.008422457963232714,219.5846403650073,-0.22740636500728328,-0.008422457963232714,False,False
12,15,27,206.8494138,424.4891236476603,-217.63970984766027,-8.060729994357787,263.83350407557975,-56.984090275579746,-2.110521862058509,213.76981904479788,-6.920405244797877,-0.2563113053628843,206.026788889744,0.8226249102559962,0.0304675892687406,206.026788889744,0.8226249102559962,0.0304675892687406,False,False
17,11,28,218.3794032,440.210943042018,-221.831539842018,-7.922554994357786,275.6126099312946,-57.233206731294615,-2.0440430975462363,249.70475550087525,-31.325352300875238,-1.1187625821741156,219.83878204566741,-1.459378845667402,-0.05212067305955007,217.64726918913482,0.7321340108651953,0.026147643245185544,False,False
16,12,28,231.62868680000005,440.210943042018,-208.58225624201796,-7.449366294357785,275.6126099312946,-43.983923131294574,-1.5708543975462348,244.52318461479138,-12.894497814791322,-0.46051777909969005,231.249418634699,0.3792681653010561,0.013545291617894861,233.4409314912316,-1.812244691231541,-0.06472302468684075,False,False
15,13,28,232.6771132,440.210943042018,-207.533829842018,-7.411922494357786,275.6126099312946,-42.93549673129462,-1.5334105975462364,238.87056182997262,-6.1934486299726075,-0.22119459392759314,235.55212033494954,-2.875007134949527,-0.1026788262481974,233.36060747841694,-0.68349427841693,-0.024410509943461785,False,False
14,14,28,236.53684600000005,440.210943042018,-203.67409704201796,-7.274074894357784,275.6126099312946,-39.075763931294574,-1.3955629975462347,232.74688714641894,3.789958853581112,0.13535567334218257,232.74688714641894,3.789958853581112,0.13535567334218257,234.93840000295154,1.5984459970485148,0.057087357037446954,False,False
13,15,28,221.4095576,440.210943042018,-218.80138544201802,-7.814335194357787,275.6126099312946,-54.20305233129463,-1.9358232975462368,226.15216056413038,-4.742602964130384,-0.16937867729037087,222.8337190691073,-1.424161469107304,-0.050862909610975136,220.6422062125747,0.7673513874252933,0.027405406693760476,False,False
18,11,29,222.7824138,455.9327624363758,-233.1503486363758,-8.039667194357786,287.43838608100896,-64.65597228100896,-2.229516285552033,261.8318130900189,-39.0493992900189,-1.3465310100006516,222.5826602350906,0.19975356490940044,0.006888053962393118,222.5826602350906,0.19975356490940044,0.006888053962393118,False,False
17,12,29,235.2924193,455.9327624363758,-220.6403431363758,-7.608287694357786,287.43838608100896,-52.14596678100895,-1.7981367855520327,256.7104984918209,-21.41807919182088,-0.7385544548903752,236.68542050461258,-1.393001204612574,-0.048034524296985306,236.68542050461258,-1.393001204612574,-0.048034524296985306,False,False
16,13,29,242.1054763,455.9327624363758,-213.82728613637582,-7.373354694357787,287.43838608100896,-45.332909781008965,-1.5632037855520333,251.12360983924125,-9.018133539241262,-0.31097012204280217,243.91458176384626,-1.8091054638462651,-0.062382947029181554,243.91458176384626,-1.8091054638462651,-0.062382947029181554,False,False
