regime,stage_index,cumulative_stage,n,B_mae,B_rmse,BA_mae,BA_rmse,fit_condition_number
R4_magic_pm1_broad,3,volume+surface+coulomb,548,73.48332062259695,98.5755139010948,0.6164317178577434,0.7760258985317958,12481.577357019853
R4_magic_pm1_broad,4,volume+surface+coulomb+asymmetry,548,3.634350098845285,4.7952144283031775,0.03997043338040158,0.058515151957077655,12481.577357019853
R4_magic_pm1_broad,5,volume+surface+coulomb+asymmetry+pairing,548,3.5896177652149994,4.765317821764905,0.0388094022674621,0.05761309598537461,12481.577357019853
R6_N50_broad,1,volume,21,624.0878404197468,625.9259103526666,7.006462653544905,7.007837622165847,11654.800024693937
R6_N50_broad,2,volume+surface,21,277.9269795861244,279.86169854970615,3.1129211345186807,3.1179780018029404,11654.800024693937
R6_N50_broad,3,volume+surface+coulomb,21,41.77482624277187,55.548472935430794,0.4986453395660996,0.6787074920441678,11654.800024693937
R6_N50_broad,4,volume+surface+coulomb+asymmetry,21,4.400471733995909,5.614301723195571,0.048805774840472944,0.0610795468472121,11654.800024693937
R6_N50_broad,5,volume+surface+coulomb+asymmetry+pairing,21,3.733442959487244,5.016105551849714,0.041338835100832416,0.05452410070852484,11654.800024693937
R6_N82_broad,1,volume,24,1031.7285203545005,1033.8651562386995,7.286345856554186,7.287480643562595,11608.1088667823
R6_N82_broad,2,volume+surface,24,561.6712396268591,564.0198812510911,3.9617296352638594,3.9655639937875424,11608.1088667823
R6_N82_broad,3,volume+surface+coulomb,24,86.31247276061511,101.29738411569252,0.6297946695699158,0.7519783466214838,11608.1088667823
R6_N82_broad,4,volume+surface+coulomb+asymmetry,24,5.940799739111394,7.002321027098398,0.04306707727494833,0.05185087623921637,11608.1088667823
R6_N82_broad,5,volume+surface+coulomb+asymmetry+pairing,24,5.436949181914628,6.53779842701904,0.03948074868893625,0.04851771773945935,11608.1088667823
R6_N126_broad,1,volume,14,1657.1688750935666,1657.913060435924,7.796829922020145,7.79730853444399,11546.025112304562
R6_N126_broad,2,volume+surface,14,1039.9862426921095,1040.8295247144774,4.8920925407779325,4.893208198526001,11546.025112304562
R6_N126_broad,3,volume+surface+coulomb,14,164.60798705086387,168.23362610992731,0.7780039928970724,0.7982483049508713,11546.025112304562
R6_N126_broad,4,volume+surface+coulomb+asymmetry,14,5.8667422368515,6.603565835741456,0.027877658817987618,0.031557306549439286,11546.025112304562
R6_N126_broad,5,volume+surface+coulomb+asymmetry+pairing,14,5.4473783268742055,6.197723210091613,0.025898470029704055,0.029634676959340647,11546.025112304562
R4_magic_pm2_broad,1,volume,858,869.7878557495171,991.0650872348795,7.332856787461852,7.34204431793168,13043.06820690543
R4_magic_pm2_broad,2,volume+surface,858,465.2031618512006,572.1707303616096,3.5015818361617845,3.6319580795769943,13043.06820690543
R4_magic_pm2_broad,3,volume+surface+coulomb,858,73.3342733320163,98.39560140955632,0.6068757855693211,0.763946994701666,13043.06820690543
R4_magic_pm2_broad,4,volume+surface+coulomb+asymmetry,858,3.527635818613353,4.698386971581777,0.03798225485091989,0.0607356103623566,13043.06820690543
R4_magic_pm2_broad,5,volume+surface+coulomb+asymmetry+pairing,858,3.4017230218681744,4.564351997579781,0.03645893622725736,0.05802052538305275,13043.06820690543
