regime,model,removed_term,n,B_mae,B_rmse,BA_mae,BA_rmse,rank,condition_number
R1_Ca_broad,term_removed_refit,pairing,21,3.287052849652766,3.816782911217022,0.0686033456036902,0.07742629427747792,4,1271.0557766391305
R1_Sn_broad,full,none,35,4.81667317257845,6.662763177116008,0.04039174072585742,0.05589538242282223,5,11649.943892135028
R1_Sn_broad,term_removed_refit,surface,35,10.498390460279516,11.657720218157905,0.08637259471925905,0.09440266567535592,4,11629.38984833539
R1_Sn_broad,term_removed_refit,coulomb,35,23.850662520571237,25.855880238634544,0.19803073142166364,0.21244736367827943,4,2140.290707096171
R1_Sn_broad,term_removed_refit,asymmetry,35,17.868022948240547,19.693713033279483,0.15362665449135515,0.1702224450600612,4,11637.759201321496
R1_Sn_broad,term_removed_refit,pairing,35,5.271311994799021,7.096056527688061,0.04430900300222247,0.0597236068025856,4,1254.200682843591
R1_Ni_broad,full,none,22,1.6084881683325265,1.8407397858699461,0.02620055299397334,0.03041808643886053,5,11685.37842940703
R1_Ni_broad,term_removed_refit,surface,22,14.83363494050485,16.072316917537744,0.24691152635185054,0.27962517780118407,4,11670.544763160433
R1_Ni_broad,term_removed_refit,coulomb,22,17.226506820807945,21.606591113495938,0.2949461501719075,0.3919252950968442,4,2150.4353497671523
R1_Ni_broad,term_removed_refit,asymmetry,22,15.361892936898055,18.357930285128685,0.2533195732232914,0.31492719059099966,4,11677.764729630137
R1_Ni_broad,term_removed_refit,pairing,22,1.6896412216437862,2.102996104883572,0.028185748106516053,0.036033220325452364,4,1259.2824935796775
R1_Pb_broad,full,none,38,3.7107981218238617,4.732528459010857,0.018435839173821418,0.023176740108771125,5,11473.65217073148
R1_Pb_broad,term_removed_refit,surface,38,9.37035505093275,10.591209744301567,0.04761451832053787,0.05385513751802341,4,11454.990319244756
R1_Pb_broad,term_removed_refit,coulomb,38,15.300112396879848,18.433530764594448,0.0796154494561457,0.09836334449913901,4,2116.4387846484638
R1_Pb_broad,term_removed_refit,asymmetry,38,9.916910018642668,11.061059607809808,0.05007215075353239,0.055514411484066065,4,11463.692241932655
R1_Pb_broad,term_removed_refit,pairing,38,4.118993468345108,5.091983751481625,0.020522696791396313,0.025013871948381217,4,1236.203772249653
R2_neutron_rich_broad,full,none,519,3.7920217892681425,5.171684537026366,0.041943232669595175,0.08731744905575504,5,11566.38804357464
R2_neutron_rich_broad,term_removed_refit,surface,519,13.401880506829086,17.192857472583484,0.18199602484935418,0.37952056552587915,4,11549.926970187105
R2_neutron_rich_broad,term_removed_refit,coulomb,519,23.917964904308572,29.38710648512577,0.3032541103777369,0.6369493401359565,4,2074.301291659529
R2_neutron_rich_broad,term_removed_refit,asymmetry,519,31.197916176704997,38.119237523213016,0.3698403499173548,0.6802111825549414,4,11560.98994791492
R2_neutron_rich_broad,term_removed_refit,pairing,519,3.8543420670785182,5.255285777045879,0.04259220433102145,0.0896169201207774,4,1371.5534089076507
R3_proton_rich_broad,full,none,519,2.511588306980254,3.2693529024084493,0.0256910248624002,0.03649653346883768,5,11917.497152610036
R3_proton_rich_broad,term_removed_refit,surface,519,15.532059990189016,18.830692011791506,0.27040169802995107,0.5134138857627437,4,11907.613123786206
R3_proton_rich_broad,term_removed_refit,coulomb,519,29.95562196777403,35.00982236570646,0.4669611071994526,0.8531325744550532,4,2240.275728519608
R3_proton_rich_broad,term_removed_refit,asymmetry,519,16.845639253341165,22.238781509238763,0.32037432773328806,0.673880351708758,4,11913.371324083573
R3_proton_rich_broad,term_removed_refit,pairing,519,2.6584730080189045,3.4540276415035835,0.028733676108606977,0.04356515492005085,4,1279.3645521667684
R4_magic_pm1_broad,full,none,548,3.589617765214999,4.765317821764899,0.03880940226746209,0.057613095985374584,5,12481.577357019853
R4_magic_pm1_broad,term_removed_refit,surface,548,14.29675285914596,17.83498792188062,0.23671362205377935,0.39603317050743825,4,12409.595248356009
R4_magic_pm1_broad,term_removed_refit,coulomb,548,24.07465550871903,29.670488907467444,0.3847105494206427,0.6504617856782452,4,2277.5058329949657
R4_magic_pm1_broad,term_removed_refit,asymmetry,548,21.390408880259425,27.11018788212967,0.35228714105869047,0.6112659903163915,4,12440.017967253147
R4_magic_pm1_broad,term_removed_refit,pairing,548,3.5995477001890155,4.746315854143227,0.03974821209168026,0.0577117368972394,4,1360.730157367122
R6_N50_broad,full,none,21,3.733442959487228,5.016105551849674,0.04133883510083224,0.05452410070852463,5,11654.800024693937
